diseaseCategory,name
"Endocrine, Metabolic",Vitamin A deficiency with conjunctival xerosis or Bitots spots
"Endocrine, Metabolic",Unspecified diabetes mellitus: With ketoacidosis
"Endocrine, Metabolic",Malnutrition (Marasmic kwashiorkor)
"Endocrine, Metabolic",Deficiency (Iron deficiency)
"Endocrine, Metabolic",Vitamin A deficiency with corneal xerosis
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With coma
"Endocrine, Metabolic",Other specified diabetes mellitus
"Endocrine, Metabolic",Deficiency Of Nutrient (Deficiency of other specified nutrient elements)
"Endocrine, Metabolic","Thyrotoxicosis, unspecified"
"Endocrine, Metabolic",Ovarian dysfunction
"Endocrine, Metabolic","Nontoxic goitre, unspecified"
"Endocrine, Metabolic",Non-insulin-dependent diabetes mellitus: With neurological complications
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: With renal complications
"Endocrine, Metabolic",Thyrotoxicosis with toxic single thyroid nodule
"Endocrine, Metabolic",Polyglandular hyperfunction
"Endocrine, Metabolic",Vitamin A deficiency with corneal ulceration or keratomalacia
"Endocrine, Metabolic",Vitamin A Deficiency (Vitamin A deficiency with xerophthalmic scars of cornea)
"Endocrine, Metabolic","Deficiency (Nutritional deficiency, unspecified)"
"Endocrine, Metabolic",Pure hypercholesterolaemia
"Endocrine, Metabolic",Vitamin D deficiency
"Endocrine, Metabolic",Other specified diabetes mellitus: With coma
"Endocrine, Metabolic","Stunting in infants, children or adolescents"
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With renal complications
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: With peripheral circulatory complications
"Endocrine, Metabolic",Nontoxic single thyroid nodule
"Endocrine, Metabolic","Hypoglycaemia in the context of diabetes, unspecified"
"Endocrine, Metabolic",Hypopituitarism
"Endocrine, Metabolic",Malnutrition (Unspecified protein-energy malnutrition)
"Endocrine, Metabolic",Other specified metabolic disorders
"Endocrine, Metabolic",Nontoxic single thyroid nodule
"Endocrine, Metabolic",Thiamine Deficiency
"Endocrine, Metabolic",Other specified diabetes mellitus: With renal complications
"Endocrine, Metabolic",Vitamin A Deficiency (Vitamin A deficiency with corneal xerosis)
"Endocrine, Metabolic",Nontoxic diffuse goitre
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: With coma
"Endocrine, Metabolic",Adrenomedullary hyperfunction
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: With ophthalmic complications
"Endocrine, Metabolic",Hypercholesterolaemia
"Endocrine, Metabolic",Mixed disorder of acidbase balance
"Endocrine, Metabolic","Disorder Of Lipoprotein Metabolism (Disorder of lipoprotein metabolism, unspecified)"
"Endocrine, Metabolic",Vitamin B2 deficiency
"Endocrine, Metabolic",Thyroiditis
"Endocrine, Metabolic",Nontoxic multinodular goitre
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With multiple complications
"Endocrine, Metabolic",Non-insulin-dependent diabetes mellitus: With ketoacidosis
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: Without complications
"Endocrine, Metabolic",Other specified diabetes mellitus: With ketoacidosis
"Endocrine, Metabolic",Vitamin B1 deficiency
"Endocrine, Metabolic",Hyperaldosteronism
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With unspecified complications
"Endocrine, Metabolic",Diabetes Mellitus (Insulin-dependent diabetes mellitus)
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With neurological complications
"Endocrine, Metabolic",Unspecified diabetes mellitus: With unspecified complications
"Endocrine, Metabolic","Thyroid Disorder (Disorder of thyroid, unspecified)"
"Endocrine, Metabolic","Obesity (Obesity, hyperalimentation)"
"Endocrine, Metabolic",Thyrotoxicosis with toxic multinodular goitre
"Endocrine, Metabolic",Non-insulin-dependent diabetes mellitus: With unspecified complications
"Endocrine, Metabolic",Other specified diabetes mellitus: With neurological complications
"Endocrine, Metabolic",Diabetes Mellitus (Non-insulin-dependent diabetes mellitus)
"Endocrine, Metabolic",Other specified diabetes mellitus: With multiple complications
"Endocrine, Metabolic",Unspecified diabetes mellitus: With renal complications
"Endocrine, Metabolic",Vitamin A deficiency with xerophthalmic scars of cornea or blindness
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With peripheral circulatory complications
"Endocrine, Metabolic",Hyperosmolality or hypernatraemia
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With other specified complications
"Endocrine, Metabolic",Hyperosmolar hyperglycaemic state without coma
"Endocrine, Metabolic",Non-insulin-dependent diabetes mellitus: With multiple complications
"Endocrine, Metabolic",Vitamin B3 deficiency
"Endocrine, Metabolic",Thyrotoxicosis from ectopic thyroid tissue
"Endocrine, Metabolic",Inborn errors of porphyrin or heme metabolism
"Endocrine, Metabolic",Myxoedema coma
"Endocrine, Metabolic","Wasting in infants, children or adolescents"
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With ophthalmic complications
"Endocrine, Metabolic",Deficiency (Sequelae of vitamin C deficiency)
"Endocrine, Metabolic",Malnutrition (Nutritional marasmus)
"Endocrine, Metabolic",Malnutrition (Mild protein-energy malnutrition)
"Endocrine, Metabolic",Hypoparathyroidism
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: With multiple complications
"Endocrine, Metabolic",Malnutrition-related diabetes mellitus: With unspecified complications
"Endocrine, Metabolic",Other specified diabetes mellitus: With other specified complications
"Endocrine, Metabolic",Unspecified diabetes mellitus: With peripheral circulatory complications
"Endocrine, Metabolic",Non-insulin-dependent diabetes mellitus: With ophthalmic complications
"Endocrine, Metabolic",Disorders of carbohydrate absorption or transport
"Endocrine, Metabolic",Hypoosmolality or hyponatraemia
"Endocrine, Metabolic",Insulin-dependent diabetes mellitus: With ketoacidosis
"Endocrine, Metabolic","Goiter (Iodine-deficiency-related (endemic) goitre, unspecified)"
"Endocrine, Metabolic",Mineral deficiencies
"Endocrine, Metabolic",Thyrotoxicosis with diffuse goitre
"Endocrine, Metabolic",Thyrotoxicosis with toxic single thyroid nodule
"Endocrine, Metabolic",Hypoglycaemia in the context of diabetes mellitus
"Endocrine, Metabolic",Vitamin B12 deficiency
"Endocrine, Metabolic",Fluorine excess
"Endocrine, Metabolic",Secondary hyperaldosteronism
"Endocrine, Metabolic",Non-insulin-dependent diabetes mellitus: With coma
"Endocrine, Metabolic",Mineral excesses
"Endocrine, Metabolic",Cushing syndrome
"Endocrine, Metabolic",Malnutritionrelated diabetes mellitus
"Endocrine, Metabolic",Hyperparathyroidism
"Endocrine, Metabolic",Diabetic acidosis
"Endocrine, Metabolic",Vitamin excesses
"Endocrine, Metabolic",Deficiency (Vitamin D deficiency)
"Endocrine, Metabolic",Testicular hypofunction
"Endocrine, Metabolic",Acidosis
"Endocrine, Metabolic",Acquired hypothyroidism
"Endocrine, Metabolic",Scurvy
"Endocrine, Metabolic",Polycystic ovary syndrome
"Endocrine, Metabolic",Sickeuthyroid syndrome
"Endocrine, Metabolic",Volume Depletion
"Endocrine, Metabolic",Underweight in adults
"Endocrine, Metabolic",Acute respiratory acidosis
"Endocrine, Metabolic",Thyrotoxicosis
"Endocrine, Metabolic",Acidosis
"Endocrine, Metabolic",Amyloidosis
"Endocrine, Metabolic",Adrenal crisis
"Endocrine, Metabolic",Delayed puberty
"Endocrine, Metabolic",Postprocedural hypopituitarism
"Endocrine, Metabolic",Peripheral precocious puberty
"Endocrine, Metabolic",Vitamin A deficiency
"Endocrine, Metabolic",Hypertriglyceridaemia
"Endocrine, Metabolic",Vitamin D deficiency osteomalacia
"Endocrine, Metabolic",Fluid overload
"Endocrine, Metabolic",Tetany due to acute calcium deficiency
"Endocrine, Metabolic",Thyroid crisis
"Endocrine, Metabolic",Iodine deficiency
"Endocrine, Metabolic","Diabetes mellitus, other specified type"
"Endocrine, Metabolic",Vitamin A deficiency with night blindness
"Endocrine, Metabolic",Lactose intolerance
"Endocrine, Metabolic",Iron deficiency
"Endocrine, Metabolic",Secondary hyperthyroidism
"Endocrine, Metabolic",Obesity
"Endocrine, Metabolic",Amyloidosis
"Endocrine, Metabolic",Beriberi
"Endocrine, Metabolic",Porphyrias
"Endocrine, Metabolic",Alkalosis
"Endocrine, Metabolic",Other specified undernutrition
"Endocrine, Metabolic",Thyrotoxicosis with toxic multinodular goitre
"Endocrine, Metabolic",Folate deficiency
"Endocrine, Metabolic",Vitamin B6 deficiency
"Endocrine, Metabolic",Hyperprolactinaemia
"Endocrine, Metabolic",Hypothyroidism
"Endocrine, Metabolic",Nontoxic goitre
"Endocrine, Metabolic",Type 1 diabetes mellitus
"Endocrine, Metabolic",Volume depletion
"Endocrine, Metabolic",Postprocedural hypoparathyroidism
"Endocrine, Metabolic",Hypovolaemia
"Endocrine, Metabolic",Diabetes mellitus due to drug or chemical
"Endocrine, Metabolic",Tumour lysis syndrome
"Endocrine, Metabolic",Chronic respiratory acidosis
"Endocrine, Metabolic",Diabetic ketoacidosis without coma
"Endocrine, Metabolic","Underweight in infants, children or adolescents"
"Endocrine, Metabolic",Overweight
"Endocrine, Metabolic",Central diabetes insipidus
"Endocrine, Metabolic",Congenital hypothyroidism
"Endocrine, Metabolic",Diabetic coma
"Endocrine, Metabolic",Hypofunction or certain specified disorders of pituitary gland
"Endocrine, Metabolic","Nontoxic goitre, unspecified"
"Endocrine, Metabolic",Persistent hyperinsulinaemic hypoglycaemia of infancy
Extension Codes,Deep full thickness or complex burn with loss of digit
Extension Codes,Burns involving 5059% of body surface
Extension Codes,Burns involving 90% or more of body surface
Extension Codes,Burns involving 2029% of body surface
Extension Codes,"Exposure to person, animal or plant"
Extension Codes,Full thickness or deep full thickness burn involving 1019% of body surface
Extension Codes,Full thickness or deep full thickness burn involving 3039% of body surface
Extension Codes,Vehicle driver injured in transport related event
Extension Codes,Deep full thickness or complex burn with no loss of limb
Extension Codes,Full thickness or deep full thickness burn involving 5059% of body surface
Extension Codes,Full thickness or deep full thickness burn involving 6069% of body surface
Extension Codes,Full thickness or deep full thickness burn involving less than 5% of body surface
Extension Codes,Full thickness or deep full thickness burn involving 7079% of body surface
Extension Codes,Railway vehicle as mode of transport of person injured in transport related event
Extension Codes,Burns involving less than 5% of body surface
Extension Codes,Animal being ridden as mode of transport of person injured in transport related event
Extension Codes,Exposure to or harmful effects of substances
Extension Codes,Full thickness or deep full thickness burn involving 2029% of body surface
Extension Codes,Pedestrian as mode of transport of person injured in transport event
Extension Codes,Full thickness or deep full thickness burn involving less than 10% of body surface
Extension Codes,Burns involving 4049% of body surface
Extension Codes,Burns involving 3039% of body surface
Extension Codes,Exposure to injurious transport event
Extension Codes,Burns involving less than 10% of body surface
Extension Codes,Pedal cycle as mode of transport of person injured in transport related event
Extension Codes,"Context of assault, sexual assault"
Extension Codes,Aircraft as mode of transport of person injured in transport related event
Extension Codes,Full thickness or deep full thickness burn involving 4049% of body surface
Extension Codes,Exposure to threat to breathing
Extension Codes,Full thickness or deep full thickness burn involving 8089% of body surface
Extension Codes,Full thickness or deep full thickness burn involving 59% of body surface
Extension Codes,"Exposure to immersion, submersion or falling into water"
Extension Codes,Car as mode of transport of person injured in transport related event
Extension Codes,Full thickness or deep full thickness burn involving 90% or more of body surface
Extension Codes,Motorcycle as mode of transport of person injured in transport related event
Extension Codes,"Intentional selfharm, person intended to die"
Extension Codes,Open fracture
Extension Codes,Closed fracture
Extension Codes,Exposure to thermal mechanism
Extension Codes,Pregnancy
Extension Codes,Burns involving 6069% of body surface
Extension Codes,Deep full thickness or complex burn with loss of limb
Extension Codes,Burns involving 59% of body surface
Extension Codes,Burns involving 7079% of body surface
Extension Codes,Watercraft as mode of transport of person injured in transport related event
Extension Codes,Exposure to fall
Extension Codes,Burns involving 8089% of body surface
Extension Codes,Burns involving 1019% of body surface
"External Causes, Morbidity",Intentional selfharm by exposure to or harmful effects of pesticides
"External Causes, Morbidity",Assault by exposure to explosion
"External Causes, Morbidity",Blood-sampling
"External Causes, Morbidity","Assault by being caught, crushed, jammed or pinched between objects"
"External Causes, Morbidity","Unintentional exposure to other specified object, not elsewhere classified"
"External Causes, Morbidity",Unspecified fall
"External Causes, Morbidity",Aspiration of fluid
"External Causes, Morbidity",Sequelae of transport accidents
"External Causes, Morbidity",Unintentionally cut or pierced by sharp object
"External Causes, Morbidity",Radiological procedure and radiotherapy
"External Causes, Morbidity",Intentional selfharm by threat to breathing by inhalation or ingestion of other objects or materials
"External Causes, Morbidity",Other medical procedure (Other medical procedures)
"External Causes, Morbidity",Assault by being struck by blunt object
"External Causes, Morbidity","Intentional selfharm by fall or jump, unspecified"
"External Causes, Morbidity","Intentional selfharm by contact with person, animal or plant, type unspecified"
"External Causes, Morbidity",Intentional selfharm by exposure to controlled fire
"External Causes, Morbidity",Unintentional exposure to electric current
"External Causes, Morbidity",Alcohol Intoxication (Moderate alcohol intoxication)
"External Causes, Morbidity",Kidney dialysis
"External Causes, Morbidity",Unintentionally scratched or clawed by person
"External Causes, Morbidity",Unintentionally struck by blunt object
"External Causes, Morbidity",Assault by being bitten by animal
"External Causes, Morbidity",Unintentional threat to breathing by inhalation or ingestion of liquids
"External Causes, Morbidity","Assault by being struck, kicked or bumped by animal"
"External Causes, Morbidity",Unintentionally bitten by person
"External Causes, Morbidity",Assault by projectile from firearm
"External Causes, Morbidity",Assault by threat to breathing by inhalation or ingestion of liquids
"External Causes, Morbidity",Unintentional exposure to uncontrolled fire
"External Causes, Morbidity",Unintentional exposure to foreign body in orifice
"External Causes, Morbidity",Assault by threat to breathing by hanging
"External Causes, Morbidity","Unintentional exposure to or harmful effects of multiple drugs, medicaments or biological substances"
"External Causes, Morbidity","Assault by being cut or pierced by knife, sword, or dagger"
"External Causes, Morbidity","Unintentionally caught, crushed, jammed or pinched between objects"
"External Causes, Morbidity",Assault by causing a fall or jump from unspecified height
"External Causes, Morbidity",Unintentional exposure to or harmful effects of alcohols
"External Causes, Morbidity",Unintentionally injured by contact with plant
"External Causes, Morbidity",Unintentional threat to breathing by other specified means
"External Causes, Morbidity","Medical procedure, unspecified"
"External Causes, Morbidity",Unintentional threat to breathing by external compression of airways or chest
"External Causes, Morbidity","Intentional selfharm, unspecified"
"External Causes, Morbidity",Assault by striking against stationary object
"External Causes, Morbidity",Fall Accident (Other fall from one level to another)
"External Causes, Morbidity",Assault by land transport road traffic injury event
"External Causes, Morbidity",Intentional selfharm by threat to breathing from low oxygen environment
"External Causes, Morbidity","Unintentional exposure to or harmful effects of analgesics, antipyretics or nonsteroidal antiinflammatory drugs"
"External Causes, Morbidity",Assault by drowning or submersion following fall into body of water
"External Causes, Morbidity",Intentional selfharm by being cut or pierced by sharp object
"External Causes, Morbidity",Intentional selfharm by exposure to electric current
"External Causes, Morbidity",Intentional selfharm by being struck by projectile from firearm
"External Causes, Morbidity",Unintentional exposure to radiation
"External Causes, Morbidity",Unintentional exposure to or harmful effects of psychostimulants
"External Causes, Morbidity","Poisoning (Intentional self-poisoning by and exposure to other, unspecified drugs, medicaments, biological substances)"
"External Causes, Morbidity",Assault by injury other than drowning following fall into body of water
"External Causes, Morbidity",Unintentional exposure to explosion
"External Causes, Morbidity","Intentional self harm by contact with weapon, type unspecified"
"External Causes, Morbidity",Unintentional threat to breathing by hanging
"External Causes, Morbidity","Surgical procedure, unspecified"
"External Causes, Morbidity","Alcohol (Alcohol involvement, not otherwise specified)"
"External Causes, Morbidity",Unintentional exposure to or harmful effects of antiepileptics or antiparkinsonism drugs
"External Causes, Morbidity",Assault by being cut or pierced by other or unspecified sharp object
"External Causes, Morbidity","Unintentionally struck, kicked, or bumped by person"
"External Causes, Morbidity",Sequelae of intentional self-harm
"External Causes, Morbidity",Unintentional exposure to or harmful effects of sedative hypnotic drugs or other CNS depressants
"External Causes, Morbidity",Unintentional exposure to excessive cold
"External Causes, Morbidity",Intentional selfharm by being struck by blunt object
"External Causes, Morbidity",Road traffic accident (Person injured in unspecified vehicle accident)
"External Causes, Morbidity",Unintentional exposure to or harmful effects of corrosive substances
"External Causes, Morbidity",Sequelae of war operations
"External Causes, Morbidity","Injury (Hit, struck, kicked, twisted, bitten or scratched by another person)"
"External Causes, Morbidity",Alcohol Intoxication (Severe alcohol intoxication)
"External Causes, Morbidity",Unintentional fall on the same level or from less than 1 metre
"External Causes, Morbidity","Assault by transport injury event, unspecified"
"External Causes, Morbidity",Unintentionally struck by moving object
"External Causes, Morbidity","Unintentional exposure to steam, hot vapour, air or gases"
"External Causes, Morbidity",Assault by being bitten by person
"External Causes, Morbidity",Unintentional exposure to controlled fire
"External Causes, Morbidity",Unintentionally struck by projectile from firearm
"External Causes, Morbidity",Unintentional exposure to or harmful effects of pesticides
"External Causes, Morbidity",Assault by causing a fall or jump from a height of 1 metre or more
"External Causes, Morbidity",Assault by threat to breathing by external compression of airways or chest
"External Causes, Morbidity",Intentional selfharm by exposure to or harmful effects of sedative hypnotic drugs or other CNS depressants
"External Causes, Morbidity",Unintentionally bitten by animal
"External Causes, Morbidity",Foreign Body (Foreign body or object entering through skin)
"External Causes, Morbidity",Unintentional injury other than drowning following fall into body of water
"External Causes, Morbidity",Animal Bite (Bitten or struck by other mammals)
"External Causes, Morbidity",Unintentional land transport traffic event injuring a user of unspecified land transport
"External Causes, Morbidity",Unintentional exposure to excessive heat
"External Causes, Morbidity",Sequelae of other external causes
"External Causes, Morbidity",Assault by being cut or pierced by sharp glass
"External Causes, Morbidity","Intentional selfharm by being caught, crushed, jammed or pinched between objects"
"External Causes, Morbidity",Assault by exposure to or harmful effects of pesticides
"External Causes, Morbidity",Snake bite (Bitten or crushed by other reptiles)
"External Causes, Morbidity",Urinary catheterization
"External Causes, Morbidity",Intentional selfharm by fall or jump from a height of 1 metre or more
"External Causes, Morbidity","Assault by threat to breathing, suffocation from object covering mouth or nose"
"External Causes, Morbidity",Unintentional exposure to or harmful effects of antipsychotics
"External Causes, Morbidity",Intentional selfharm by threat to breathing by hanging
"External Causes, Morbidity","Assault by being struck, kicked or bumped by person"
"External Causes, Morbidity",Assault (Assault by corrosive substance)
"External Causes, Morbidity",Assault by injury other than drowning while in body of water
"External Causes, Morbidity",Unintentional exposure to or harmful effects of antidepressants
"External Causes, Morbidity",Assault by being scratched or clawed by animal
"External Causes, Morbidity","Unintentional drowning or submersion, following fall into body of water"
"External Causes, Morbidity",Unintentional threat to breathing from low oxygen environment
"External Causes, Morbidity",Unintentionally stung or envenomated by animal
"External Causes, Morbidity",Assault by being crushed or stepped on by animal
"External Causes, Morbidity",Insect Bite (Bitten or stung by nonvenomous insect and other nonvenomous arthropods)
"External Causes, Morbidity",Sequelae of assault
"External Causes, Morbidity","Unintentional transport injury event, unspecified"
"External Causes, Morbidity",Unintentional exposure to or harmful effects of carbon monoxide
"External Causes, Morbidity","Assault by being struck by moving object, not elsewhere classified"
"External Causes, Morbidity",Shock therapy
"External Causes, Morbidity",Amputation (Amputation of limb(s))
"External Causes, Morbidity",Unintentional threat to breathing by inhalation or ingestion of food
"External Causes, Morbidity",Assault by being stung or envenomated by animal
"External Causes, Morbidity",Unintentional threat to breathing by inhalation or ingestion of other objects or materials
"External Causes, Morbidity",Unintentional threat to breathing by strangulation
"External Causes, Morbidity",Unintentional threat to breathing by inhalation or ingestion of gastric contents
"External Causes, Morbidity",Intentional selfharm by exposure to or harmful effects of psychostimulants
"External Causes, Morbidity",Unintentional exposure to or harmful effects of opioids or related analgesics
"External Causes, Morbidity",Unintentional striking against stationary object
"External Causes, Morbidity",Assault by exposure to uncontrolled fire
"External Causes, Morbidity","Unintentional exposure to ignition, or melting of material"
"External Causes, Morbidity",Unintentional exposure to other specified thermal mechanism
"External Causes, Morbidity",Unintentional fall from unspecified height
"External Causes, Morbidity",Unintentional exposure to high or low air pressure or changes in air pressure
"External Causes, Morbidity",Unintentionally stepped on or crushed by person
"External Causes, Morbidity",Unintentional threat to breathing by suffocation from object covering mouth or nose
"External Causes, Morbidity","Intentional selfharm by transport injury event, unspecified"
"External Causes, Morbidity",Assault by threat to breathing by strangulation
"External Causes, Morbidity","Unintentional drowning or submersion, while in body of water"
"External Causes, Morbidity",Intentional selfharm by exposure to ignition or melting of material
"External Causes, Morbidity","Assault by contact with other specified object, not elsewhere classified"
"External Causes, Morbidity",Assault by exposure to or harmful effects of carbon monoxide
"External Causes, Morbidity",Unintentional exposure to or harmful effects of organic solvents
"External Causes, Morbidity","Assault by drowning or submersion, while in body of water"
"External Causes, Morbidity",Intentional selfharm by exposure to or harmful effects of opioids or related analgesics
"External Causes, Morbidity",Unintentional contact with hot object or liquid
"External Causes, Morbidity","Assault by contact with steam, hot vapour, air or gases"
Eye & Adnexa,Orbital cellulitis
Eye & Adnexa,Near vision deficits
Eye & Adnexa,Panuveitis
Eye & Adnexa,Astigmatism
Eye & Adnexa,Other specified disorders of the ocular adnexa or orbit
Eye & Adnexa,Disorders of refraction
Eye & Adnexa,Myopia
Eye & Adnexa,Other specified diseases of the visual system
Eye & Adnexa,Optic atrophy
Eye & Adnexa,Bullous aphakic keratopathy following cataract surgery
Eye & Adnexa,Transient visual loss
Eye & Adnexa,Anisometropia (Anisometropia and aniseikonia)
Eye & Adnexa,Sixth nerve palsy
Eye & Adnexa,Conjunctival or subconjunctival haemorrhage
Eye & Adnexa,Corneal oedema
Eye & Adnexa,Nasolacrimal duct obstruction
Eye & Adnexa,Other specified disorders of eyelid or periocular area
Eye & Adnexa,Posterior vitreous detachment
Eye & Adnexa,Secondary openangle glaucoma
Eye & Adnexa,Disorder of visual cortex
Eye & Adnexa,Sympathetic uveitis
Eye & Adnexa,Night Blindness
Eye & Adnexa,Haemorrhage of orbit
Eye & Adnexa,Retinal detachments or breaks
Eye & Adnexa,Vision impairment including blindness
Eye & Adnexa,Chorioretinal scars after surgery for detachment
Eye & Adnexa,Conjunctivitis
Eye & Adnexa,Choroidal haemorrhage or rupture
Eye & Adnexa,Other specified disorders of orbit
Eye & Adnexa,Conjunctival blebitis after glaucoma surgery
Eye & Adnexa,Presbyopia
Eye & Adnexa,Disorders of lacrimal gland
Eye & Adnexa,"Blindness, monocular"
Eye & Adnexa,Bony deformity of orbit
Eye & Adnexa,Disorder of the optic nerve
Eye & Adnexa,Vernal keratoconjunctivitis
Eye & Adnexa,Glaucoma due to ocular surgery or laser
Eye & Adnexa,Allergic conjunctivitis
Eye & Adnexa,Myopia
Eye & Adnexa,"Symblepharon, acquired"
Eye & Adnexa,Cataract lens fragments in eye following cataract surgery
Eye & Adnexa,Chorioretinal inflammation
Eye & Adnexa,Acquired disorders of eyelashes
Eye & Adnexa,Eyelid retraction
Eye & Adnexa,Dislocation of lens
Eye & Adnexa,Papilloedema
Eye & Adnexa,Certain specified disorders of cornea
Eye & Adnexa,Vertical or torsional strabismus
Eye & Adnexa,Traumatic keratitis
Eye & Adnexa,Outward displacement of eyeball
Eye & Adnexa,Acquired malposition of eyelid
Eye & Adnexa,Traumatic cataract
Eye & Adnexa,Orbital inflammation
Eye & Adnexa,Mature agerelated cataract
Eye & Adnexa,"Diabetic retinopathy, unspecified"
Eye & Adnexa,Degenerative high myopia
Eye & Adnexa,Trichiasis without entropion
Eye & Adnexa,Choroiditis
Eye & Adnexa,Lagophthalmos
Eye & Adnexa,Orbital inflammatory syndrome
Eye & Adnexa,Episcleritis
Eye & Adnexa,Eyeball deformity
Eye & Adnexa,Orbital infection
Eye & Adnexa,Keratopathy (Keratopathy (bullous aphakic) following cataract surgery)
Eye & Adnexa,Abscess of external ear
Eye & Adnexa,Entropion (Entropion and trichiasis of eyelid)
Eye & Adnexa,Retinopathy
Eye & Adnexa,Dysthyroid orbitopathy
Eye & Adnexa,Ectropion (Spastic ectropion of eyelid)
Eye & Adnexa,Impairment of visual acuity
Eye & Adnexa,Inflammatory disorders of eyelid
Eye & Adnexa,Corneal degeneration
Eye & Adnexa,Inherited retinal dystrophies
Eye & Adnexa,Certain specified disorders of conjunctiva
Eye & Adnexa,Retinal vascular occlusions
Eye & Adnexa,Corneal Neovascularization
Eye & Adnexa,"Photokeratitis (Keratitis, unspecified)"
Eye & Adnexa,Corneal scars and opacities
Eye & Adnexa,Double Vision (Diplopia)
Eye & Adnexa,Corneal scars or opacities
Eye & Adnexa,Adherent leukoma
Eye & Adnexa,Infectious keratitis
Eye & Adnexa,Infantile or juvenile cataract
Eye & Adnexa,Entropion of eyelid
Eye & Adnexa,Primary openangle glaucoma
Eye & Adnexa,Amblyopia (Amblyopia ex anopsia)
Eye & Adnexa,Nystagmus (Nystagmus and other irregular eye movements)
Eye & Adnexa,Astigmatism
Eye & Adnexa,Retinal detachment with retinal break
Eye & Adnexa,"Disorders Of Ocular Muscles, Binocular Movement, Accommodation And Refraction"
Eye & Adnexa,Pterygium
Eye & Adnexa,Hypermetropia
Eye & Adnexa,Inward displacement of eyeball
Eye & Adnexa,Cataract
Eye & Adnexa,Optic neuritis
Eye & Adnexa,Pain (Ocular pain)
Eye & Adnexa,Glaucoma
Eye & Adnexa,Canaliculitis
Eye & Adnexa,Macular disorders
Eye & Adnexa,Infectious blepharitis
Eye & Adnexa,Exposure keratitis
Eye & Adnexa,Presbyopia
Eye & Adnexa,Ocular motor nerve palsies
Eye & Adnexa,Displacement of eyeball
Eye & Adnexa,Diabetic macular oedema
Eye & Adnexa,Anterior uveitis
Eye & Adnexa,Chalazion
Eye & Adnexa,Eales disease
Eye & Adnexa,Endophthalmitis
Eye & Adnexa,Age related macular degeneration
Eye & Adnexa,Dermatitis or eczema of eyelids
Eye & Adnexa,Anophthalmic socket
Eye & Adnexa,Esotropia
Eye & Adnexa,Diabetic cataract
Eye & Adnexa,Soft tissue deformity of orbit
Eye & Adnexa,Nystagmus
Eye & Adnexa,Keratoconjunctivitis sicca
Eye & Adnexa,Exotropia
Eye & Adnexa,Aphakia
Eye & Adnexa,Dacryocystitis
Eye & Adnexa,Vitreous haemorrhage
Eye & Adnexa,Ectropion of eyelid
Eye & Adnexa,Hyphaema
Eye & Adnexa,Anisometropia
Eye & Adnexa,Retinal vasculitis
Eye & Adnexa,Ectropion (Mechanical Ectropion Of Eyelid)
Eye & Adnexa,"Ectropion (Senile, of eyelid)"
Eye & Adnexa,Third nerve palsy
Eye & Adnexa,Scleritis
Eye & Adnexa,Corneal Ulcer
Eye & Adnexa,Keratitis (Other superficial keratitis without conjunctivitis)
Eye & Adnexa,Keratoconjunctivitis
Eye & Adnexa,Blepharitis
Eye & Adnexa,Ectropion (Lagophthalmos)
Eye & Adnexa,Glaucoma suspect
Eye & Adnexa,Keratitis
Eye & Adnexa,Chalazion
Eye & Adnexa,Scleral staphyloma
Eye & Adnexa,Orbital cyst
Eye & Adnexa,Herpesviral (Herpesviral keratitis and keratoconjunctivitis)
Eye & Adnexa,Disorders of accommodation
Eye & Adnexa,Conjunctivitis
Eye & Adnexa,Nonproliferative diabetic retinopathy
Eye & Adnexa,Blepharoptosis
Eye & Adnexa,Impairment of colour vision
Eye & Adnexa,"Cataract (Cataract, unspecified)"
Eye & Adnexa,Tuberculosis (Episcleritis)
Eye & Adnexa,Keratitis (Interstitial and deep keratitis)
Eye & Adnexa,Inherited vitreoretinal disorders
Eye & Adnexa,Certain specified retinal disorders
Eye & Adnexa,Corneal Degeneration
Eye & Adnexa,Certain specified disorders of eyelid
Eye & Adnexa,Retinal Vascular Occlusions
Eye & Adnexa,Tuberculosis (Iridocyclitis)
Eye & Adnexa,Proliferative diabetic retinopathy
Eye & Adnexa,Glaucoma
Eye & Adnexa,Glaucoma (Glaucoma suspect)
Eye & Adnexa,Non paralytic strabismus
Eye & Adnexa,Complications with glaucoma drainage devices
Eye & Adnexa,Glaucoma (Primary open-angle glaucoma)
Eye & Adnexa,Corneal ulcer
Eye & Adnexa,Neurotrophic keratitis
Eye & Adnexa,"Blindness, binocular"
Eye & Adnexa,Aphakia
Eye & Adnexa,Glaucoma (Primary angle-closure glaucoma)
